agent,policy,step,row,col,energy
Greedy,greedy,0,0,5,150.0000
Greedy,greedy,1,1,4,148.7500
Greedy,greedy,2,2,3,147.5000
Greedy,greedy,3,3,3,146.2500
Greedy,greedy,4,4,3,145.0000
Greedy,greedy,5,5,3,143.7500
Greedy,greedy,6,6,3,142.5000
Greedy,greedy,7,7,3,141.2500
Greedy,greedy,8,8,3,140.0000
Greedy,greedy,9,9,3,138.7500
Greedy,greedy,10,10,3,137.5000
Greedy,greedy,11,11,3,136.2500
Greedy,greedy,12,12,3,135.0000
Greedy,greedy,13,12,4,133.7500
Greedy,greedy,14,12,3,132.5000
Greedy,greedy,15,12,4,131.2500
Greedy,greedy,16,12,3,130.0000
Greedy,greedy,17,12,4,128.7500
Greedy,greedy,18,12,3,127.5000
Greedy,greedy,19,12,4,126.2500
Greedy,greedy,20,12,3,125.0000
Greedy,greedy,21,12,4,123.7500
Greedy,greedy,22,12,3,122.5000
Greedy,greedy,23,12,4,121.2500
Greedy,greedy,24,12,3,120.0000
Greedy,greedy,25,12,4,118.7500
Greedy,greedy,26,12,3,117.5000
Greedy,greedy,27,12,4,116.2500
Greedy,greedy,28,12,3,115.0000
Greedy,greedy,29,12,4,113.7500
Greedy,greedy,30,12,3,112.5000
Greedy,greedy,31,12,4,111.2500
Greedy,greedy,32,12,3,110.0000
Greedy,greedy,33,12,4,108.7500
Greedy,greedy,34,12,3,107.5000
Greedy,greedy,35,12,4,106.2500
Greedy,greedy,36,12,3,105.0000
Greedy,greedy,37,12,4,103.7500
Greedy,greedy,38,12,3,102.5000
Greedy,greedy,39,12,4,101.2500
Greedy,greedy,40,12,3,100.0000
Greedy,greedy,41,12,4,98.7500
Greedy,greedy,42,12,3,97.5000
Greedy,greedy,43,12,4,96.2500
Greedy,greedy,44,12,3,95.0000
Greedy,greedy,45,12,4,93.7500
Greedy,greedy,46,12,3,92.5000
Greedy,greedy,47,12,4,91.2500
Greedy,greedy,48,12,3,90.0000
Greedy,greedy,49,12,4,88.7500
Greedy,greedy,50,12,3,87.5000
Greedy,greedy,51,12,4,86.2500
Greedy,greedy,52,12,3,85.0000
Greedy,greedy,53,12,4,83.7500
Greedy,greedy,54,12,3,82.5000
Greedy,greedy,55,12,4,81.2500
Greedy,greedy,56,12,3,80.0000
Greedy,greedy,57,12,4,78.7500
Greedy,greedy,58,12,3,77.5000
Greedy,greedy,59,12,4,76.2500
Greedy,greedy,60,12,3,75.0000
Greedy,greedy,61,12,4,73.7500
Greedy,greedy,62,12,3,72.5000
Greedy,greedy,63,12,4,71.2500
Greedy,greedy,64,12,3,70.0000
Greedy,greedy,65,12,4,68.7500
Greedy,greedy,66,12,3,67.5000
Greedy,greedy,67,12,4,66.2500
Greedy,greedy,68,12,3,65.0000
Greedy,greedy,69,12,4,63.7500
Greedy,greedy,70,12,3,62.5000
Greedy,greedy,71,12,4,61.2500
Greedy,greedy,72,12,3,60.0000
Greedy,greedy,73,12,4,58.7500
Greedy,greedy,74,12,3,57.5000
Greedy,greedy,75,12,4,56.2500
Greedy,greedy,76,12,3,55.0000
Greedy,greedy,77,12,4,53.7500
Greedy,greedy,78,12,3,52.5000
Greedy,greedy,79,12,4,51.2500
Greedy,greedy,80,12,3,50.0000
Prudent,prudent,0,0,5,150.0000
Prudent,prudent,1,1,4,148.7500
Prudent,prudent,2,2,4,147.5000
Prudent,prudent,3,3,4,146.2500
Prudent,prudent,4,4,4,145.0000
Prudent,prudent,5,5,4,143.7500
Prudent,prudent,6,6,4,142.5000
Prudent,prudent,7,7,4,141.2500
Prudent,prudent,8,8,4,140.0000
Prudent,prudent,9,9,4,138.7500
Prudent,prudent,10,10,4,137.5000
Prudent,prudent,11,11,4,136.2500
Prudent,prudent,12,12,4,135.0000
Prudent,prudent,13,13,4,133.6667
Prudent,prudent,14,14,4,132.2381
Prudent,prudent,15,15,4,130.6996
Prudent,prudent,16,16,4,129.0330
Prudent,prudent,17,17,4,127.2148
Prudent,prudent,18,18,4,125.2148
Prudent,prudent,19,19,3,122.9926
Prudent,prudent,20,20,2,120.1354
Prudent,prudent,21,21,1,117.2783
Prudent,prudent,22,22,1,114.4211
Prudent,prudent,23,23,1,111.5640
Prudent,prudent,24,24,1,108.7068
Prudent,prudent,25,25,1,105.8497
Prudent,prudent,26,26,1,102.9926
Prudent,prudent,27,27,1,100.1354
Prudent,prudent,28,28,1,97.2783
Prudent,prudent,29,29,1,94.4211
Prudent,prudent,30,30,1,91.5640
Prudent,prudent,31,31,1,88.7068
Prudent,prudent,32,32,1,85.8497
Prudent,prudent,33,33,1,82.9926
Prudent,prudent,34,34,1,80.1354
Prudent,prudent,35,35,1,77.2783
Prudent,prudent,36,36,1,74.4211
Prudent,prudent,37,37,1,71.5640
Prudent,prudent,38,38,1,68.7068
Prudent,prudent,39,39,1,67.7068
